main_topic;cloze_test;translation;hint;extra
Verb ver Subjuntivo Imp. (2. Sg. - Wunsch Vergangenheit);Yo esperaba que tú {{c1::vieras}} el hospital hoy.;Ich hoffte, dass du heute das Krankenhaus siehst (sehen würdest).;Bilde die 2. Person Singular von ver im Subjuntivo Imperfekt.;Esperaba (ich hoffte) steuert den Subjuntivo Imperfekt bei Subjektwechsel.
Verb ver Subjuntivo Imp. (2. Sg. - Aufforderung Verg.);Te pedí que te {{c1::vieras}} más tranquilo ayer.;Ich bat dich, dass du gestern ruhiger aussiehst (aussehen würdest).;Bilde die 2. Person Singular von ver für das reflexive Aussehen im Subjuntivo Imperfekt.;Pedí (ich bat / Indefinido) verlangt den Subjuntivo Imperfekt im folgenden Satzgefüge.
Verb ver Subjuntivo Imp. (2. Sg. - Zweifel Vergangenheit);Dudaba que tú {{c1::vieras}} el partido en mi casa.;Ich bezweifelte, dass du das Fußballspiel in meinem Haus schaust (sehen würdest).;Bilde die 2. Person Singular von ver im Subjuntivo Imperfekt.;Zweifel in der Vergangenheit (dudaba que) fordern zwingend diese Zeitform.
Verb ver Subjuntivo Imp. (2. Sg. - Negation Vergangenheit);No creía que tú te {{c1::vieras}} con tu hermano.;Ich glaubte nicht, dass du dich mit deinem Bruder triffst (treffen würdest).;Bilde die 2. Person Singular von ver für das reziproke Treffen (verse) im Subjuntivo Imperfekt.;Die verneinte Meinung in der Vergangenheit (no creía que) löst den Subjuntivo Imperfekt aus.
Verb ver Subjuntivo Imp. (3. Sg. - Wunsch Vergangenheit);Ojalá el director {{c1::viera}} el error en el plan.;Hoffentlich sah (hätte gesehen) der Leiter den Fehler im Plan.;Bilde die 3. Person Singular von ver im Subjuntivo Imperfekt.;Das Wort ojalá wird in der Vergangenheit von der Imperfekt-Form gefolgt.
Verb ver Subjuntivo Imp. (3. Sg. - Unpersönlich Verg.);Era mejor que ella {{c1::viera}} a su madre ayer.;Es war besser, dass sie gestern ihre Mutter sah (treffen würde).;Bilde die 3. Person Singular von ver im Subjuntivo Imperfekt.;Era mejor que leitet eine Bewertung über eine vergangene Situation ein.
Verb ver Subjuntivo Imp. (3. Sg. - Reflexiv Aussehen);Era posible que él se {{c1::viera}} muy feliz allí.;Es war möglich, dass er dort sehr glücklich aussah (aussehen würde).;Bilde die 3. Person Singular von ver für das reflexive Aussehen (verse) im Subjuntivo Imperfekt.;Era posible que drückt eine vergangene Wahrscheinlichkeit aus.
Verb ver Subjuntivo Imp. (3. Sg. - Unpersúnlich allgemein);Era bueno que no se {{c1::viera}} nada por la niebla.;Es war gut, dass man wegen des Nebels nichts sah.;Bilde die unpersönliche Einzahlform mit se (man sah) im Subjuntivo Imperfekt.;"Se viera + Infinitiv" drückt die unpersönliche Möglichkeit in der Vergangenheit aus.
Verb ver Subjuntivo Imp. (3. Sg. - Vergleich);El niño gritó como si {{c1::viera}} una película de miedo.;Das Kind schrie, als ob es einen Horrorfilm sehen würde.;Bilde die 3. Person Singular von ver im Subjuntivo Imperfekt.;"Como si" ist der direkte Auslöser für den Subjuntivo Imperfekt.
Verb ver Subjuntivo Imp. (1. Pl. - Hypothese);Si nosotros {{c1::viéramos}} las estrellas, estaríamos felices.;Wenn wir die Sterne sehen würden, wären wir glücklich.;Bilde die 1. Person Plural von ver im Subjuntivo Imperfekt. Achtung auf den Akzent!;Die 1. Person Plural (nosotros) trägt im Subjuntivo Imperfekt IMMER einen geschriebenen Akzent auf dem e (viéramos).
Verb ver Subjuntivo Imp. (1. Pl. - Wunsch Vergangenheit);Ellos querían que nosotros {{c1::viéramos}} una serie.;Sie wollten, dass wir eine Serie schauen (sehen würden).;Bilde die 1. Person Plural von ver im Subjuntivo Imperfekt mit Akzent.;Querían (sie wollten) ist das auslösende Vergangenheitsverb.
Verb ver Subjuntivo Imp. (1. Pl. - Vorschlag Vergangenheit);El líder propuso que nos {{c1::viéramos}} mañana aquí.;Der Anführer schlug vor, dass wir uns morgen hier sehen (treffen).;Bilde die 1. Person Plural von ver für das reziproke Treffen (verse) im Subjuntivo Imperfekt mit Akzent.;Vorschläge in der Vergangenheit (propuso que) steuern den Subjuntivo Imperfekt.
Verb ver Subjuntivo Imp. (1. Pl. - Negation Verg.);No era verdad que nosotras {{c1::viéramos}} a las amigas.;Es war nicht wahr, dass wir die Freundinnen sahen (getroffen hätten).;Bilde die 1. Person Plural von ver für eine Frauengruppe im Subjuntivo Imperfekt mit Akzent.;Verneinte Fakten in der Vergangenheit (no era verdad que) ziehen den Subjuntivo Imperfekt nach sich.
Verb ver Subjuntivo Imp. (1. Pl. - Emotion Vergangenheit);Nos dio pena que nosotros {{c1::viéramos}} la situación.;Es tat uns leid, dass wir die Situation sahen (mitansehen mussten).;Bilde die 1. Person Plural von ver im Subjuntivo Imperfekt mit Akzent.;Nos dio pena (Indefinido) ist der emotionale Auslöser in der Vergangenheit.
Verb ver Subjuntivo Imp. (2. Pl. - Hypothese);Si vosotros {{c1::vierais}} el problema, firmaríais ya.;Wenn ihr das Problem sehen würdet, würdet ihr schon unterschreiben.;Bilde die 2. Person Plural von ver im Subjuntivo Imperfekt. Kein Akzent!;Die Form vierais der 2. Person Plural hat im Gegensatz zur nosotros-Form keinen Akzent.
Verb ver Subjuntivo Imp. (2. Pl. - Wunsch Vergangenheit);Mi deseo era que vosotros os {{c1::vierais}} jóvenes.;Mein Wunsch war, dass ihr jung ausseht (aussehen würdet).;Bilde die 2. Person Plural von ver für das reflexive Aussehen (verse) im Subjuntivo Imperfekt.;Der Wunsch in der Vergangenheit (mi deseo era que) steuert das Satzgefüge.
Verb ver Subjuntivo Imp. (2. Pl. - Unpersönlich Verg.);Era increíble que vosotras {{c1::vierais}} esa exposición.;Es war unglaublich, dass ihr diese Ausstellung angeschaut habt.;Bilde die 2. Person Plural von ver für eine rein weibliche Gruppe im Subjuntivo Imperfekt.;Ausdrücke der Überraschung (era increíble que) lösen den Subjuntivo aus.
Verb ver Subjuntivo Imp. (2. Pl. - Verbot Vergangenheit);No permitió que vosotros {{c1::vierais}} al jefe ayer.;Er erlaubte nicht, dass ihr den Chef gestern seht (trefft).;Bilde die 2. Person Plural von ver im Subjuntivo Imperfekt.;No permitió (er erlaubte nicht) verbietet die Aktion und verlangt den Subjuntivo.
Verb ver Subjuntivo Imp. (2. Pl. - Zweifel Vergangenheit);No parecía que vosotros os {{c1::vierais}} en el parque.;Es schien nicht, dass ihr euch im Park treffen würdet.;Bilde die 2. Person Plural von ver für das reziproke Treffen mit os im Subjuntivo Imperfekt.;No parecía que drückt eine Unsicherheit in der Vergangenheit aus.
Verb ver Subjuntivo Imp. (3. Pl. - Hypothese);Si ellos {{c1::vieran}} la oportunidad, lo harían ya.;Wenn sie die Gelegenheit sehen würden, würden sie es schon tun.;Bilde die 3. Person Plural von ver im Subjuntivo Imperfekt.;Kombination aus Si + Subjuntivo Imperfekt und Condicional Simple (lo harían).
Verb ver Subjuntivo Imp. (3. Pl. - Wunsch Vergangenheit);El director prefería que ellos {{c1::vieran}} a sus padres.;Der Direktor bevorzugte, dass sie ihre Eltern sehen (treffen).;Bilde die 3. Person Plural von ver im Subjuntivo Imperfekt.;Prefería (bevorzugte) zieht den Subjuntivo nach sich.
Verb ver Subjuntivo Imp. (3. Pl. - Unpersönlich Verg.);Era lógico que ellos se {{c1::vieran}} felices ayer.;Es war logisch, dass sie gestern glücklich aussahen.;Bilde die 3. Person Plural von ver für das reflexive Aussehen im Subjuntivo Imperfekt.;Era lógico que leitet eine logische Schlussfolgerung in der Vergangenheit ein.
Verb ver Subjuntivo Imp. (3. Pl. - Unpersönlich Plural);Era importante que se {{c1::vieran}} las calles nuevas.;Es war wichtig, dass man die neuen Straßen sehen konnte.;Bilde die unpersönliche Pluralform mit se (man sah) im Subjuntivo Imperfekt.;Da "las calles" im Plural steht, wechselt auch das unpersönliche Verb im Subjuntivo Imperfekt zu se vieran.
Verb ver Subjuntivo Imp. (3. Pl. - Negation Vergangenheit);No creía que ellas {{c1::vieran}} la exposición de arte.;Ich glaubte nicht, dass sie die Kunstausstellung anschauen würden.;Bilde die 3. Person Plural von ver für eine weibliche Gruppe im Subjuntivo Imperfekt.;No creía que erzwingt in der Vergangenheit den Subjuntivo Imperfekt.
